date,order_id,item_type,item_name,size,quantity,extra_cheese,unit_price,total
2025-11-27,1,pizza,HAWAIIAN (ham & pineapple),S,2,false,10.17,20.34
2025-11-27,1,salad,Caesar Salad,,1,,6.5 ,0
2025-11-27,2,pizza,Meat Lovers!,S,1,False,6.2,6.2
2025-11-27,3,pizza,bbq chicken,xl,4,True,12.17,48.68
2025-11-27,4,pizza,bbq chicken,S,1,True,12.47,12.47
2025-11-27,4,drink,Lemonade ,,2,,3.5,7.0
2025-11-27,4,salad,GARDEN SALAD ,,1 ,,N/A,0
2025-11-27,5,pizza,bbq chicken,L ,N/A,False,11.77,N/A
2025-11-27,6,pizza,margherita - Fresh basil,xl,3,False,6.33,18.99 
2025-11-27,7,pizza,margherita - Fresh basil,Medium,3 ,yes,10.79,10.79
2025-11-27,7,salad,GARDEN SALAD ,,1 ,,5.5,5.5
2025-11-27,8,pizza,Meat Lovers!,L ,4 ,TRUE,6.14,N/A
2025-11-27,9,pizza,HAWAIIAN (ham & pineapple),Medium,2,TRUE,10.98 ,0
2025-11-27,10,pizza,Meat Lovers!,xl,1 ,yes,8.14,8.14 
2025-11-27,11,pizza,Pepperoni-double,L ,2,yes,8.65,17.3
2025-11-27,11,drink,Soda,,1 ,,N/A,0
2025-11-27,12,pizza,bbq chicken,lARGE,1,yes,10.89,10.89
2025-11-27,13,pizza,bbq chicken,m,3,False,13.63,40.89 
2025-11-27,14,pizza,Four cheese,L ,3,yes,14.35 ,0
2025-11-27,15,pizza,Four cheese,m,4,false,15.77,63.08
2025-11-27,15,salad,GARDEN SALAD ,,1,,5.5,5.5
2025-11-27,16,pizza,margherita - Fresh basil,xl,1,TRUE,14.42,14.42
2025-11-27,16,salad,greek salad,,1,,7.0 ,0
2025-11-27,17,pizza,margherita - Fresh basil,lARGE,3,TRUE,7.71,23.13 
2025-11-27,17,drink,Lemonade ,,1,,3.5,3.5
2025-11-27,17,salad,greek salad,,1 ,,7.0,N/A
2025-11-27,18,pizza,Pepperoni-double,S,3,False,11.55,34.65
2025-11-27,18,drink,ICED TEA,,1 ,,3.0,3.0
